EVT  20080512, 133701.557113,   -6.294,  -14.398,     7.91,    35.43,   202.99,    0.000,     0.00,     1.95
EVT  20080514, 121453.188620,    3.950,  -16.852,     6.71,    39.44,    39.92,    0.000,     0.00,     1.89
EVT  20080512, 075014.891926,    1.358,    7.249,    13.89,    33.73,   111.13,    0.000,     0.00,     3.80
EVT  20080512, 094255.344441,    2.591,    1.400,    56.26,    27.26,    18.57,    0.000,     0.00,    17.05
EVT  20080513, 044643.383067,   10.670,   -7.800,     8.40,    37.48,    54.68,    0.000,     0.00,     2.25
EVT  20080513, 220634.609008,   12.208,   -4.588,     8.83,    40.56,   257.40,    0.000,     0.00,     2.78
EVT  20080517, 133741.027016,   -9.234,    1.247,     3.56,    43.79,   156.42,    0.000,     0.00,     1.18
EVT  20080511, 172308.115473,    0.834,    7.502,    62.22,    42.71,   252.20,    0.000,     0.00,    27.58
EVT  20080515, 010948.873597,  -10.697,   -9.934,    10.67,    31.45,   205.82,    0.000,     0.00,     2.56
EVT  20080516, 101823.160594,   -2.296,  -14.562,     9.56,    33.50,   182.37,    0.000,     0.00,     2.34
EVT  20080516, 235110.288175,    8.303,  -14.322,    31.64,    32.52,    58.89,    0.000,     0.00,     9.60
EVT  20080512, 092413.780189,   -6.607,  -13.406,     5.10,    44.40,    74.53,    0.000,     0.00,     1.80
EVT  20080517, 232717.093348,    5.661,   -6.830,     9.45,    42.88,    54.98,    0.000,     0.00,     3.39
EVT  20080514, 063120.407150,   -1.830,    0.557,    16.41,    23.79,   163.71,    0.000,     0.00,     4.05
EVT  20080512, 182504.236399,   -3.303,   -6.999,    21.76,    28.97,     3.22,    0.000,     0.00,     6.12
